sample_id,actual_profit,scaled_profit,actual_step,scaled_step,actual_action,scaled_action,actual_position,scaled_position,actual_risk,scaled_risk,actual_activity,scaled_activity,actual_sharpe,scaled_sharpe,total_reward,action_type,action_amount,shares_held,balance,net_worth,current_price
15,-0.000102578124,0.0,1e-06,1.4999999999999888e-07,0.01,0.0009999996666668,0.0025202178,0.0001260108983842,0.0,0.0,-0.001,-9.999999966666668e-05,-0.1058171465992927,0.0,-0.0142553272710463,0.699852620082341,0.7524575775566327,148,49519.9375,99924.3,340.57
16,-0.00010359375,0.0,1.05e-06,1.574999999999987e-07,0.0,0.0,0.0025197,0.0001259849959751,0.0,0.0,0.0,0.0,-0.4013885259628296,0.0,-0.0180309008580419,0.0233750696092289,0.2991689968227601,148,49519.9375,99913.94,340.5
17,-0.0001184375,0.0,1.1e-06,1.649999999999985e-07,0.01,0.0009999996666668,0.003046759,0.000152337946929,0.0,0.0,-0.001,-9.999999966666668e-05,-0.6997444033622742,0.0,-0.0165339353547858,-0.6561556934419925,0.7418555327901102,-179,160837.28125,99902.09,340.42
18,7.8125e-08,1.9531249506599124e-08,1.15e-06,1.724999999999983e-07,0.01,0.0009999996666668,0.001378701,6.89350490574725e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.5279579162597656,0.0,-0.0216258200693971,0.5594824073114175,0.2074827642747654,-81,127476.125,99902.1,340.42
19,-6.476563e-05,0.0,1.2e-06,1.7999999999999806e-07,0.01,0.0009999996666668,-0.0019766497,0.0,-0.001953300088644,-9.76650044322014e-05,-0.001,-9.999999966666668e-05,-0.9679661393165588,0.0,-0.0222211826641481,-0.714851927423791,0.998551406088177,-293,199662.125,99895.625,340.5
20,0.0,0.0,1.25e-06,1.874999999999978e-07,0.01,0.0009999996666668,0.000663975,3.319875031593256e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.7709947824478149,0.0,-0.0217982370965622,0.9405258828586024,0.567467954256214,39,86616.125,99895.625,340.5
21,-2.734375e-05,0.0,1.3e-06,1.9499999999999758e-07,0.01,0.0009999996666668,0.0019234294,9.617147588869555e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.8053843975067139,0.0,-0.0219053436425352,0.5090840911540093,0.2938942961771749,113,61424.3046875,99892.89,340.43
22,0.000265625,6.640625360887498e-05,1.3500000000000002e-06,2.024999999999973e-07,0.01,0.0009999996666668,0.0024357548,0.0001217877361341,0.0,0.0,-0.001,-9.999999966666668e-05,-0.168014571070671,0.0,-0.0113323756067533,0.9416312490395312,0.1695092547529883,143,51204.35546875,99919.45,340.665
23,0.00014296875,3.574218862922862e-05,1.4e-06,2.099999999999969e-07,0.01,0.0009999996666668,-0.0016095734,0.0,-0.0012191474670544,-6.095737262512557e-05,-0.001,-9.999999966666668e-05,-0.0073422994464635,0.0,-0.0092036125371283,0.4353310190751878,0.9290685031429404,282,3838.01953125,99933.75,340.765
24,4.234375e-05,1.0585937161522452e-05,1.45e-06,2.1749999999999657e-07,0.01,0.0009999996666668,0.00057932595,2.8966298486921005e-05,0.0,0.0,-0.001,-9.999999966666668e-05,0.1315066069364547,0.0262952595949172,-0.0142133733266811,-0.5777252020617785,0.5496830546863886,-34,111524.5,99937.984,340.78
25,-4.421875e-05,0.0,1.5e-06,2.249999999999962e-07,0.01,0.0009999996666668,0.002250006,0.0001125002963817,0.0,0.0,-0.001,-9.999999966666668e-05,0.1977616101503372,0.0395317114889621,-0.0147888378248307,-0.5292118710164315,0.3796666994538374,-132,144933.6875,99933.56,340.91
26,0.0001584375,3.960937465308234e-05,1.55e-06,2.3249999999999587e-07,0.01,0.0009999996666668,0.0039020458,0.0001951022859429,0.0,0.0,-0.001,-9.999999966666668e-05,0.4988877177238464,0.0994477421045303,-0.012152663610683,0.4748837087784254,0.8510002522196589,229,21908.4921875,99949.41,340.79
27,3.421875e-05,8.554687155992724e-06,1.6e-06,2.399999999999954e-07,0.01,0.0009999996666668,0.0029309227,0.0001465461391489,0.0,0.0,-0.001,-9.999999966666668e-05,0.541824996471405,0.1079428046941757,-0.0117774082830498,-0.5762316407716466,0.7691455733123278,-172,158571.28125,99952.83,340.805
28,-0.00015484374,0.0,1.65e-06,2.4749999999999493e-07,0.01,0.0009999996666668,0.003920292,0.0001960146037163,0.0,0.0,-0.001,-9.999999966666668e-05,0.3912092745304107,0.0780825838446617,-0.0137520974577469,-0.7328493399314018,0.4785662915046498,-230,178343.1875,99937.34,340.895
29,8.046875e-05,2.0117187887080945e-05,1.7e-06,2.549999999999945e-07,0.0,0.0,0.0039198897,0.0001959944929694,0.0,0.0,0.0,0.0,0.4698205888271332,0.0936885476112365,-0.0091336574188352,-0.1747087002327474,0.4774383708917578,-230,178343.1875,99945.39,340.86
30,-7.8125e-08,0.0,1.75e-06,2.6249999999999394e-07,0.01,0.0009999996666668,-0.0018508536,0.0,-0.0017017078353092,-8.508539031026885e-05,-0.001,-9.999999966666668e-05,0.5033894181251526,0.1003390997648239,-0.0122849026439516,-0.6017213572434865,0.9439047431903996,-289,198453.921875,99945.38,340.86
31,-0.000115625,0.0,1.8e-06,2.699999999999934e-07,-0.005,0.0,-0.0018520098,0.0,-0.0017040204256772,-8.520101982867345e-05,-0.001,-9.999999966666668e-05,0.1579707860946655,0.0315836481750011,-0.0106198763749492,0.3363491011088417,0.465532923478506,-289,198453.921875,99933.82,340.9
32,0.00013,3.2500000088475645e-05,1.85e-06,2.774999999999929e-07,0.0,0.0,-0.0018507099,0.0,-0.0017014205222949,-8.507102756993845e-05,0.0,0.0,0.1462198942899704,0.0292356461286544,-0.0085379089269897,-0.1400108064343896,0.7677201407453493,-289,198453.921875,99946.82,340.855
33,-8.6640626e-05,0.0,1.9e-06,2.8499999999999224e-07,0.01,0.0009999996666668,-0.0018856656,0.0,-0.0017713319975882,-8.856660133460537e-05,-0.001,-9.999999966666668e-05,0.0018965638009831,0.000379312725272,-0.0127175604682345,-0.7034988583709805,0.3651689955233854,-290,198794.8125,99938.16,340.885
34,0.0,0.0,1.95e-06,2.9249999999999164e-07,0.01,0.0009999996666668,0.0030850093,0.0001542504614917,0.0,0.0,-0.001,-9.999999966666668e-05,0.0499275550246238,0.0099851787090301,-0.0125294261109289,0.4921984672338686,0.1871275854827564,-181,161638.34375,99938.16,340.885
35,0.0,0.0,2e-06,2.99999999999991e-07,-0.005,0.0,0.0030850093,0.0001542504614917,0.0,0.0,-0.001,-9.999999966666668e-05,-0.1437698900699615,0.0,-0.0086637827060984,-0.326031981415404,0.8088696580470174,-181,161638.34375,99938.16,340.885
36,-7.234375e-05,0.0,2.0500000000000003e-06,3.0749999999999033e-07,0.01,0.0009999996666668,0.0021648735,0.0001082436792785,0.0,0.0,-0.001,-9.999999966666668e-05,-0.2797123193740845,0.0,-0.0067813262676273,0.437538041958706,0.6508822407304052,127,56633.4453125,99930.92,340.925
37,-0.00015242187,0.0,2.1e-06,3.149999999999895e-07,0.01,0.0009999996666668,0.0035102912,0.0001755145640345,0.0,0.0,-0.001,-9.999999966666668e-05,-0.2779262661933899,0.0,-0.0146495585181949,0.4293019168202694,0.4799323330106147,206,29709.8515625,99915.68,340.805
38,-0.00018539063,0.0,2.15e-06,3.224999999999889e-07,-0.005,0.0,0.0035093643,0.0001754682161845,0.0,0.0,-0.001,-9.999999966666668e-05,-0.5882681608200073,0.0,-0.011803270845012,-0.3774416158148073,0.7037513922409456,206,29709.8515625,99897.14,340.715
39,-0.00017507812,0.0,2.2e-06,3.2999999999998805e-07,0.0,0.0,0.003508489,0.0001754244585754,0.0,0.0,0.0,0.0,-0.7596820592880249,0.0,-0.0129290432095903,0.1017405587464264,0.8183864350096414,206,29709.8515625,99879.63,340.63
40,0.00018539063,4.634765718947165e-05,2.25e-06,3.374999999999872e-07,0.01,0.0009999996666668,0.00085179997,4.258999979356304e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.3196124136447906,0.0,-0.0131805696925591,-0.4770645908469049,0.3126407732330301,50,82862.171875,99898.17,340.72
41,0.0001125,2.8124999516876414e-05,2.3e-06,3.449999999999863e-07,0.01,0.0009999996666668,0.00032389775,1.619488830328919e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.3423390984535217,0.0,-0.0137961894237433,-0.6977514505543831,0.2029865440857941,-19,106387.375,99909.42,340.945
42,-7.65625e-06,0.0,2.35e-06,3.524999999999854e-07,-0.005,0.0,0.00032393573,1.6196787328226492e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.2716603577136993,0.0,-0.0109533562457128,-0.3805989982215818,0.7770414235179148,-19,106387.375,99908.66,340.985
43,9.453125e-06,2.3632812826690497e-06,2.4e-06,3.599999999999845e-07,0.01,0.0009999996666668,0.0017558152,8.779076597420499e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.2622526884078979,0.0,-0.0081111744359327,-0.7614677534035867,0.3088523499509597,-103,135025.90625,99909.6,340.935
44,1.5390626e-05,3.847656444122549e-06,2.45e-06,3.6749999999998346e-07,-0.005,0.0,0.001755738,8.778690244071186e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.2470010221004486,0.0,-0.01048986494471,-0.3068436110000188,0.277634416825855,-103,135025.90625,99911.14,340.92
45,0.0001390625,3.476562415016815e-05,2.5e-06,3.7499999999998243e-07,0.01,0.0009999996666668,0.000477099,2.3854950995882973e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.0497249960899353,0.0,-0.0119195697158836,0.7088699925942967,0.1905655696628269,-28,109467.03125,99925.05,340.785
46,3.78125e-05,9.4531251306762e-06,2.55e-06,3.824999999999814e-07,0.01,0.0009999996666668,-0.0009250295,0.0,0.0,0.0,-0.001,-9.999999966666668e-05,0.1209978833794593,0.0241948552429676,-0.0116885653042502,0.7858317901341785,0.902679968028114,262,10678.53125,99928.83,340.65
47,0.0003275,8.187499770428985e-05,2.6e-06,3.899999999999802e-07,0.0,0.0,-0.0009283048,0.0,0.0,0.0,0.0,0.0,0.537051796913147,0.1069991961121559,-0.0051922074148543,-0.0533039877926722,0.8115706018523279,262,10678.53125,99961.58,340.775
48,2.625e-05,6.5624999479041435e-06,2.65e-06,3.974999999999791e-07,0.01,0.0009999996666668,0.0006474915,3.2374573493143544e-05,0.0,0.0,-0.001,-9.999999966666668e-05,0.9067978262901306,0.1793970167636871,-0.0083744846027319,-0.9369852307190032,0.5406987239963035,-38,112914.03125,99964.2,340.785
49,6.265625e-05,1.566406172059942e-05,2.7000000000000004e-06,4.049999999999779e-07,-0.005,0.0,0.000647178,3.235890108044259e-05,0.0,0.0,-0.001,-9.999999966666668e-05,0.8142151236534119,0.1614187359809875,-0.0048096546985186,-0.3183558887819842,0.9182463417905526,-38,112914.03125,99970.47,340.62
50,3.421875e-05,8.554687155992724e-06,2.75e-06,4.1249999999997657e-07,0.01,0.0009999996666668,0.003847989,0.0001923994568642,0.0,0.0,-0.001,-9.999999966666668e-05,0.7243132591247559,0.1438577622175216,-0.0075261829159095,0.887363892568622,0.7982908453924898,226,23014.109375,99973.89,340.53
51,-0.00018078125,0.0,2.8e-06,4.199999999999752e-07,0.01,0.0009999996666668,-0.00034102498,0.0,0.0,0.0,-0.001,-9.999999966666668e-05,0.4170789420604706,0.0832228511571884,-0.0092487530770404,0.8088030179839818,0.2953776811928726,245,16545.55859375,99955.81,340.45
52,-3.671875e-05,0.0,2.85e-06,4.27499999999974e-07,-0.005,0.0,-0.00034065783,0.0,0.0,0.0,-0.001,-9.999999966666668e-05,0.3687277436256408,0.0736121535301208,-0.006346219916101,0.3812997004663361,0.3912004106884527,245,16545.55859375,99952.14,340.435
53,-3.6796875e-05,0.0,2.9e-06,4.349999999999726e-07,0.01,0.0009999996666668,-0.0011572981,0.0,-0.0003145968948956,-1.5729845472378656e-05,-0.001,-9.999999966666668e-05,0.3173976838588714,0.0633944049477577,-0.0096021447327182,0.4761675211629159,0.5082458116742664,269,8375.478515625,99948.46,340.42
54,-0.00039007812,0.0,2.95e-06,4.424999999999711e-07,0.0,0.0,-0.0011533975,0.0,-0.0003067958168685,-1.53397904796293e-05,0.0,0.0,-0.0949422717094421,0.0,-0.0062209128765863,0.2749123430003573,0.6040566783878375,269,8375.478515625,99909.45,340.275
55,-0.00024203125,0.0,3e-06,4.499999999999696e-07,0.01,0.0009999996666668,0.0016839158,8.419579535257071e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.249806135892868,0.0,-0.0041937751892527,-0.6839181363873239,0.6554085575955475,-99,133563.5625,99885.25,340.185
56,5.4375e-05,1.3593749827123249e-05,3.0500000000000004e-06,4.574999999999682e-07,0.01,0.0009999996666668,0.0020577866,0.000102889331174,0.0,0.0,-0.001,-9.999999966666668e-05,-0.5296646356582642,0.0,-0.0038887664066404,-0.6158300214722185,0.1161369117847534,-121,141046.421875,99890.69,340.13
57,-3.625e-05,0.0,3.1e-06,4.649999999999665e-07,0.01,0.0009999996666668,-0.00016383946,0.0,0.0,0.0,-0.001,-9.999999966666668e-05,-0.5908839702606201,0.0,-0.0052566132198481,0.8814519191099108,0.8718765223074708,240,18248.6640625,99887.06,340.16
58,7.8125e-08,1.9531249506599124e-08,3.15e-06,4.724999999999648e-07,0.01,0.0009999996666668,-0.00012982427,0.0,0.0,0.0,-0.001,-9.999999966666668e-05,-0.6658766269683838,0.0,-0.0114385917367494,-0.5354330510955452,0.8985051239335188,-239,181185.3125,99887.07,340.16
59,3.5859375e-05,8.964843800640665e-06,3.2000000000000003e-06,4.799999999999632e-07,0.01,0.0009999996666668,-0.0016261028,0.0,-0.0012522065080702,-6.261032831389457e-05,-0.001,-9.999999966666668e-05,-0.6637319326400757,0.0,-0.0043200629852727,-0.8896650270727124,0.8015344899658795,-283,196151.6875,99890.66,340.145
60,-0.00021226563,0.0,3.25e-06,4.874999999999613e-07,0.0,0.0,-0.0016282254,0.0,-0.0012564515927806,-6.282258254941553e-05,0.0,0.0,-0.6765471696853638,0.0,-0.0096625680713753,-0.1680881780098244,0.2483112443783033,-283,196151.6875,99869.43,340.22
61,-0.00016984376,0.0,3.3e-06,4.949999999999596e-07,0.0,0.0,-0.0016299242,0.0,-0.0012598490575328,-6.299245433183387e-05,0.0,0.0,-0.780928909778595,0.0,-0.0100250614660771,-0.0704136578836374,0.9886171901913526,-283,196151.6875,99852.445,340.28
62,0.00012734375,3.183593798894435e-05,3.35e-06,5.024999999999577e-07,0.01,0.0009999996666668,-0.001968885,0.0,-0.0019377707503736,-9.688853606348856e-05,-0.001,-9.999999966666668e-05,-0.5796113610267639,0.0,-0.0057637470162123,-0.7152650673047287,0.933299577354242,-293,199554.03125,99865.18,340.235
63,-0.0001465625,0.0,3.4e-06,5.099999999999557e-07,-0.005,0.0,-0.0019703507,0.0,-0.0019407022045925,-9.70351102296263e-05,-0.001,-9.999999966666668e-05,-0.5303563475608826,0.0,-0.0132507194461263,-0.6186325000768014,0.7046035582415904,-293,199554.03125,99850.52,340.285
64,-0.000234375,0.0,3.45e-06,5.174999999999539e-07,-0.005,0.0,-0.0019726944,0.0,-0.0019453894346952,-9.726947610033676e-05,-0.001,-9.999999966666668e-05,-0.5286317467689514,0.0,-0.0149441696328986,-0.6931046654076736,0.3379546464146233,-293,199554.03125,99827.086,340.365
65,-0.00043953126,0.0,3.5e-06,5.249999999999517e-07,0.0,0.0,-0.0019770896,0.0,-0.0019541799556463,-9.770900214789437e-05,0.0,0.0,-0.7413856983184814,0.0,-0.014033398141682,-0.1874443974980641,0.9972949042188636,-293,199554.03125,99783.13,340.515
66,0.00019046875,4.7617188101867214e-05,3.5500000000000003e-06,5.324999999999497e-07,0.0,0.0,-0.0019751852,0.0,-0.0019503711955621,-9.751856123330072e-05,0.0,0.0,-0.5021799802780151,0.0,-0.0104718029224444,-0.1517840411342703,0.992905741399399,-293,199554.03125,99802.18,340.45
67,-0.0001171875,0.0,3.6e-06,5.399999999999475e-07,-0.005,0.0,-0.001976357,0.0,-0.0019527148688212,-9.763574780663475e-05,-0.001,-9.999999966666668e-05,-0.5807412266731262,0.0,-0.010599272746636,-0.358905085188006,0.3411611307018188,-293,199554.03125,99790.46,340.49
68,7.328125e-05,1.8320311937713996e-05,3.65e-06,5.474999999999453e-07,-0.005,0.0,-0.001975624,0.0,-0.0019512486178427,-9.756243525771424e-05,-0.001,-9.999999966666668e-05,-0.547640323638916,0.0,-0.0072046549674584,-0.6076305822972745,0.7994785801957192,-293,199554.03125,99797.79,340.465
69,-7.3203126e-05,0.0,3.7e-06,5.54999999999943e-07,0.01,0.0009999996666668,0.0021621115,0.000108105574327,0.0,0.0,-0.001,-9.999999966666668e-05,-0.4755739867687225,0.0,-0.0084084143220367,0.5553028215243705,0.718077669242923,127,56548.234375,99790.47,340.49
70,0.00010796875,2.699218748603016e-05,3.75e-06,5.624999999999407e-07,0.0,0.0,0.0021626514,0.0001081325681298,0.0,0.0,0.0,0.0,-0.2972613573074341,0.0,-0.0086580671444294,0.1122489809641522,0.7663394127136197,127,56548.234375,99801.266,340.575
71,6.25e-06,1.56249996052793e-06,3.8e-06,5.699999999999382e-07,0.01,0.0009999996666668,0.00032355095,1.6177547877305187e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.3866026699542999,0.0,-0.0128727782626561,-0.9042117533710892,0.2589043622350307,19,93330.875,99801.89,340.58
72,-1.03125e-05,0.0,3.85e-06,5.774999999999359e-07,0.01,0.0009999996666668,0.0025879901,0.000129399515572,0.0,0.0,-0.001,-9.999999966666668e-05,-0.3055826425552368,0.0,-0.009306083870491,-0.4222981023276393,0.5483792142233089,-152,151560.65625,99800.86,340.525
73,-0.00012921875,0.0,3.9e-06,5.849999999999333e-07,0.0,0.0,0.002588636,0.0001294318062718,0.0,0.0,0.0,0.0,-0.2532299160957336,0.0,-0.0138907983678373,0.1753397213061127,0.5630446197664665,-152,151560.65625,99787.94,340.61
74,8.359375e-05,2.089843837893568e-05,3.95e-06,5.924999999999307e-07,0.01,0.0009999996666668,0.002520107,0.0001260053541045,0.0,0.0,-0.001,-9.999999966666668e-05,0.1429473310708999,0.02858167886734,-0.0162466151839023,0.9539085840526256,0.6761853488276386,148,49394.15625,99796.3,340.555
75,0.00012578125,3.1445313652511686e-05,4e-06,5.99999999999928e-07,0.01,0.0009999996666668,0.001175208,5.8760400861501694e-05,0.0,0.0,-0.001,-9.999999966666668e-05,0.0813838690519332,0.0162753388285636,-0.0149917293196495,-0.7175364407793703,0.1801375509416297,69,76304.71875,99808.875,340.64
76,6.5625e-05,1.6406249415013008e-05,4.05e-06,6.074999999999253e-07,0.0,0.0,0.0011755357,5.8776786318048835e-05,0.0,0.0,0.0,0.0,0.3415866494178772,0.0682112500071525,-0.0126777455232472,0.1688537001529293,0.3930861075202883,69,76304.71875,99815.44,340.735
77,-6.875e-06,0.0,4.1000000000000006e-06,6.149999999999224e-07,0.01,0.0009999996666668,0.0030494889,0.0001524744438938,0.0,0.0,-0.001,-9.999999966666668e-05,0.2351295351982116,0.0469912737607955,-0.010410790963678,-0.9566288249376868,0.6841614432774747,-179,160804.53125,99814.75,340.725
78,-0.00016109375,0.0,4.15e-06,6.224999999999196e-07,0.0,0.0,0.0030502942,0.0001525147090433,0.0,0.0,0.0,0.0,0.0958415046334266,0.0191659536212682,-0.013436619448669,-0.0404308023690829,0.4262869439407771,-179,160804.53125,99798.64,340.815
79,7.8125e-08,1.9531249506599124e-08,4.2e-06,6.299999999999166e-07,0.01,0.0009999996666668,0.0019767268,9.883633902063592e-05,0.0,0.0,-0.001,-9.999999966666668e-05,-0.0329587310552597,0.0,-0.0166932514746911,0.7507109119779047,0.1347693418656385,-116,139333.1875,99798.65,340.815
80,-2.3203125e-05,0.0,4.250000000000001e-06,6.374999999999137e-07,0.01,0.0009999996666668,0.0031697655,0.0001584882702445,0.0,0.0,-0.001,-9.999999966666668e-05,-0.069983534514904,0.0,-0.0168930714382224,-0.8781741192339518,0.3946303026402213,-186,163191.640625,99796.33,340.835
81,4.65625e-05,1.1640625416475814e-05,4.3e-06,6.449999999999106e-07,0.0,0.0,0.0031695329,0.0001584766432642,0.0,0.0,0.0,0.0,0.0015922657912597,0.0003184531233273,-0.0128108525793893,0.287783616211015,0.4965678094646029,-186,163191.640625,99800.984,340.81
82,0.0001115625,2.7890624551218934e-05,4.35e-06,6.524999999999075e-07,0.01,0.0009999996666668,0.0039697373,0.0001984868722502,0.0,0.0,-0.001,-9.999999966666668e-05,0.3247067332267761,0.0648502111434936,-0.0101169851355416,-0.427209908983911,0.4403408090447958,-233,179206.890625,99812.14,340.75
83,-7e-05,0.0,4.4e-06,6.599999999999042e-07,0.01,0.0009999996666668,-0.0005876559,0.0,0.0,0.0,-0.001,-9.999999966666668e-05,0.1154027581214904,0.0230764541774988,-0.0159672080707094,-0.6341752419520978,0.3143744975959246,-252,185681.703125,99805.14,340.78
84,0.000113359376,2.8339843993308023e-05,4.45e-06,6.674999999999009e-07,0.01,0.0009999996666668,-0.0018472414,0.0,-0.0016944836825132,-8.472418267047033e-05,-0.001,-9.999999966666668e-05,0.1013391092419624,0.0202650465071201,-0.0092205883262394,-0.5435866295533278,0.9094855478248228,-289,198288.890625,99816.48,340.735
85,-0.00040460937,0.0,4.5e-06,6.749999999998975e-07,0.0,0.0,-0.0018512874,0.0,-0.0017025755951181,-8.512878412147984e-05,0.0,0.0,-0.2899554073810577,0.0,-0.0142544086545371,-0.2150902624767048,0.2460360447436566,-289,198288.890625,99776.016,340.875
86,0.0003035156,7.587890286231413e-05,4.5500000000000005e-06,6.82499999999894e-07,0.0,0.0,-0.0018482524,0.0,-0.0016965054674074,-8.482527482556179e-05,0.0,0.0,-0.049775768071413,0.0,-0.0105792896334613,-0.2939285498627513,0.9445036888166376,-289,198288.890625,99806.37,340.77
87,5.7734374e-05,1.4433593605645e-05,4.6e-06,6.899999999998905e-07,0.01,0.0009999996666668,-0.0018817496,0.0,-0.0017634999239817,-8.817499474389479e-05,-0.001,-9.999999966666668e-05,0.0836453512310981,0.0167275089770555,-0.0075578287858105,-0.967119007944522,0.3982694301273658,-290,198629.640625,99812.14,340.75
88,0.00018851562,4.712890586233698e-05,4.6499999999999995e-06,6.974999999998867e-07,-0.005,0.0,-0.0018798648,0.0,-0.0017597305122762,-8.798652561381459e-05,-0.001,-9.999999966666668e-05,0.1918732970952987,0.0383558310568332,-0.0049666340227082,-0.8313132197023119,0.2078276316850174,-290,198629.640625,99830.99,340.685
89,-0.0005800781,0.0,4.7e-06,7.049999999998831e-07,0.0,0.0,-0.0018856656,0.0,-0.0017713319975882,-8.856660133460537e-05,0.0,0.0,-0.0958560481667518,0.0,-0.0109580384450747,0.1411865448443678,0.588290290470683,-290,198629.640625,99772.984,340.885
90,2.90625e-05,7.265624844876584e-06,4.75e-06,7.124999999998795e-07,0.01,0.0009999996666668,-0.0017831123,0.0,-0.0015662251971662,-7.831126276869327e-05,-0.001,-9.999999966666668e-05,-0.1032265499234199,0.0,-0.0139378009827959,0.5960759844600743,0.9918385583026184,287,1944.765625,99775.89,340.875
91,-8.609375e-05,0.0,4.8e-06,7.199999999998756e-07,0.01,0.0009999996666668,-0.0017481672,0.0,-0.0014963352587074,-7.481676584575325e-05,-0.001,-9.999999966666668e-05,-0.1875829696655273,0.0,-0.0096402628595311,-0.4861502040209158,0.9885879340837552,-286,197248.953125,99767.28,340.845
